cidade;estado;area;num_quartos;num_banheiros;garagem;num_andares;aceita_animais;mobilia;valor_aluguel;valor_condominio;valor_iptu;valor_seguro_incendio
Campinas;SP;24;1;1;0;1;Nao;Sim;1180;230;9;15
Sao Paulo;SP;22;1;1;0;1;Nao;Nao;976;0;0;15
Sao Paulo;SP;70;1;1;1;1;Nao;Nao;2529;0;142;39
Porto Alegre;RS;44;1;1;1;2;Sim;Sim;1500;250;17;22
Sao Paulo;SP;150;3;2;2;1;Nao;Nao;2500;0;0;38
Sao Paulo;SP;90;1;2;2;9;Sim;Sim;2900;998;220;37
Sao Paulo;SP;200;4;4;2;8;Sim;Sim;2800;3000;830;36
Sao Paulo;SP;320;8;4;0;1;Sim;Nao;10500;450;350;158
Porto Alegre;RS;90;2;1;1;2;Nao;Nao;1700;550;110;25
Sao Paulo;SP;240;4;4;3;9;Sim;Nao;2144;2500;834;28
Sao Paulo;SP;154;4;3;3;21;Sim;Nao;7000;1684;1020;89
Sao Paulo;SP;60;2;2;2;2;Sim;Nao;3230;2340;284;41
Campinas;SP;101;3;2;0;5;Sim;Nao;2380;780;91;31
Porto Alegre;RS;140;3;4;2;1;Nao;Nao;3090;0;0;55
Sao Paulo;SP;500;4;5;8;1;Sim;Nao;15000;0;1850;226
Sao Paulo;SP;110;3;3;3;4;Sim;Nao;2350;1195;687;30
Sao Paulo;SP;110;3;3;2;1;Sim;Nao;4800;0;50;73
Belo Horizonte;MG;90;2;2;2;3;Sim;Nao;2000;200;84;27
Sao Paulo;SP;384;4;6;4;3;Nao;Sim;15000;3500;344;191
Sao Paulo;SP;57;2;1;1;7;Sim;Nao;1500;570;67;20
Sao Paulo;SP;160;3;3;2;5;Sim;Sim;1500;1650;419;20
Sao Paulo;SP;39;1;1;0;8;Sim;Nao;1250;330;19;16
Campinas;SP;78;1;2;1;4;Sim;Nao;2290;0;143;30
Porto Alegre;RS;36;1;1;1;1;Sim;Nao;762;0;15;14
Campinas;SP;70;2;1;1;1;Sim;Nao;1200;558;0;16
Belo Horizonte;MG;45;1;1;1;4;Nao;Sim;3200;300;0;43
Sao Paulo;SP;200;3;4;3;1;Sim;Nao;8500;3500;1250;108
Sao Paulo;SP;100;3;3;3;1;Sim;Nao;4300;0;120;65
Sao Paulo;SP;42;1;1;1;14;Nao;Nao;5000;0;0;64
Sao Paulo;SP;280;4;4;1;1;Sim;Sim;8000;3000;292;102
Sao Paulo;SP;28;1;1;1;13;Nao;Sim;2800;615;42;36
Sao Paulo;SP;30;1;1;0;1;Nao;Sim;1826;296;30;24
Belo Horizonte;MG;85;3;2;1;1;Sim;Nao;1500;337;88;20
Campinas;SP;83;1;1;1;4;Nao;Nao;1080;500;59;14
Campinas;SP;85;3;2;2;16;Sim;Sim;3300;550;150;42
Belo Horizonte;MG;90;3;2;2;3;Sim;Nao;1600;325;105;22
Belo Horizonte;MG;50;2;1;0;5;Sim;Nao;900;0;100;12
Rio De Janeiro;RJ;50;1;1;0;8;Sim;Nao;2900;600;134;38
Belo Horizonte;MG;300;3;2;3;1;Nao;Nao;6700;0;539;110
Porto Alegre;RS;39;1;1;0;7;Sim;Nao;850;350;27;13
Sao Paulo;SP;750;4;4;6;1;Sim;Nao;15000;0;2084;226
Porto Alegre;RS;60;2;1;0;1;Sim;Nao;1100;222;46;17
Rio De Janeiro;RJ;68;2;1;0;4;Nao;Nao;1250;750;9;17
Sao Paulo;SP;70;2;1;1;1;Sim;Nao;1250;230;50;16
Sao Paulo;SP;90;2;2;1;6;Sim;Sim;6500;900;89;83
Rio De Janeiro;RJ;258;5;6;0;1;Sim;Nao;8700;0;670;133
Sao Paulo;SP;200;2;2;6;1;Sim;Nao;4500;0;292;68
Sao Paulo;SP;123;2;2;2;6;Sim;Nao;2990;1800;625;38
Sao Paulo;SP;127;3;2;2;1;Sim;Sim;2150;220;67;33
Belo Horizonte;MG;180;4;2;2;1;Sim;Nao;1800;0;210;30
Sao Paulo;SP;110;3;2;0;1;Nao;Nao;2900;0;384;44
Rio De Janeiro;RJ;70;2;2;1;7;Sim;Sim;1719;585;77;23
Sao Paulo;SP;35;1;1;1;8;Sim;Sim;3000;720;130;39
Sao Paulo;SP;219;3;2;2;1;Sim;Nao;2900;0;150;44
Rio De Janeiro;RJ;25;1;1;0;1;Sim;Nao;700;50;0;10
Rio De Janeiro;RJ;170;4;5;0;10;Sim;Nao;7100;1200;639;92
Rio De Janeiro;RJ;45;1;1;0;8;Sim;Nao;1570;900;98;21
Belo Horizonte;MG;420;4;4;2;1;Nao;Nao;7000;0;200;115
Porto Alegre;RS;46;1;1;0;4;Sim;Nao;1040;0;48;16
Sao Paulo;SP;145;3;3;2;1;Sim;Sim;5800;1088;250;74
Belo Horizonte;MG;59;2;2;1;2;Sim;Nao;1100;190;59;15
Belo Horizonte;MG;225;4;3;0;8;Sim;Nao;7500;1850;466;100
Sao Paulo;SP;210;4;4;3;3;Sim;Nao;4675;2270;1110;60
Porto Alegre;RS;76;1;1;0;1;Sim;Nao;1249;209;52;19
Sao Paulo;SP;220;3;4;3;2;Nao;Nao;5150;2500;1250;66
Sao Paulo;SP;109;3;2;2;7;Sim;Nao;2500;1746;134;32
Belo Horizonte;MG;95;2;1;1;3;Sim;Nao;1000;646;120;14
Sao Paulo;SP;32;1;1;0;1;Nao;Nao;1500;280;50;20
Sao Paulo;SP;480;4;6;5;9;Sim;Nao;15000;6660;3063;191
Sao Paulo;SP;53;1;1;1;3;Sim;Nao;4390;694;200;56
Sao Paulo;SP;40;1;1;0;1;Nao;Nao;780;0;17;12
Sao Paulo;SP;50;1;1;1;4;Sim;Sim;3223;500;100;41
Sao Paulo;SP;60;1;1;0;1;Sim;Nao;1300;0;255;20
Porto Alegre;RS;64;2;2;2;7;Nao;Nao;1500;450;50;22
Rio De Janeiro;RJ;140;3;3;2;4;Sim;Sim;12000;2280;535;155
Sao Paulo;SP;121;3;3;1;12;Sim;Nao;2040;800;334;26
Campinas;SP;43;1;1;1;4;Sim;Sim;2100;498;84;27
Sao Paulo;SP;20;1;1;1;3;Nao;Sim;1360;1700;0;18
Campinas;SP;58;2;1;1;3;Sim;Nao;950;289;11;13
Belo Horizonte;MG;570;5;6;7;1;Sim;Sim;8330;0;873;137
Sao Paulo;SP;88;2;1;1;2;Sim;Nao;2790;980;0;36
Sao Paulo;SP;89;3;2;2;19;Sim;Nao;6000;900;184;77
Porto Alegre;RS;47;1;1;1;1;Nao;Sim;2200;400;0;33
Sao Paulo;SP;40;1;1;0;1;Sim;Nao;1100;0;50;17
Rio De Janeiro;RJ;40;1;1;0;1;Sim;Sim;1950;386;91;26
Rio De Janeiro;RJ;60;1;2;1;3;Sim;Nao;750;400;80;10
Sao Paulo;SP;25;1;1;0;14;Sim;Nao;1650;257;0;21
Porto Alegre;RS;50;2;1;0;13;Sim;Nao;1130;340;30;17
Porto Alegre;RS;90;3;1;0;1;Sim;Nao;1130;145;55;17
Sao Paulo;SP;173;3;3;3;2;Sim;Nao;2000;3000;825;26
Campinas;SP;91;3;2;2;12;Sim;Nao;2250;700;175;29
Sao Paulo;SP;90;;2;2;6;Nao;Nao;1200;1710;109;16
Sao Paulo;SP;530;5;6;4;2;Sim;Sim;15000;8300;5000;191
Belo Horizonte;MG;155;1;4;0;4;Nao;Nao;2790;1117000;64;38
Sao Paulo;SP;40;1;1;0;1;Nao;Nao;1300;0;0;17
Sao Paulo;SP;296;4;5;3;3;Sim;Nao;15000;0;0;191
Sao Paulo;SP;87;3;2;1;17;Sim;Nao;1400;850;200;18
Sao Paulo;SP;300;3;3;5;1;Sim;Nao;5000;0;584;76
Sao Paulo;SP;136;3;3;3;13;Sim;Nao;4206;1430;364;54
Sao Paulo;SP;52;2;1;0;4;Sim;Nao;1340;0;0;17
Porto Alegre;RS;94;2;2;2;8;Sim;Nao;2900;600;230;43
Rio De Janeiro;RJ;300;4;5;3;7;Sim;Nao;12750;3850;750;165
Rio De Janeiro;RJ;100;3;3;1;3;Sim;Nao;3229;850;100;42
Sao Paulo;SP;500;4;6;3;1;Sim;Nao;7300;6466;2536;110
Sao Paulo;SP;240;3;4;3;3;Sim;Sim;4950;3600;1000;63
Belo Horizonte;MG;308;2;3;3;1;Sim;Nao;2000;0;171;33
Sao Paulo;SP;350;4;5;4;15;Sim;Sim;4590;2700;1334;59
Sao Paulo;SP;75;2;2;0;2;Sim;Nao;1450;570;0;19
Sao Paulo;SP;155;3;2;3;4;Sim;Sim;11700;2600;667;149
Sao Paulo;SP;260;3;5;4;12;Sim;Nao;6000;2227;1468;77
Sao Paulo;SP;80;2;2;1;1;Nao;Nao;1500;0;184;23
Rio De Janeiro;RJ;85;3;1;1;6;Sim;Nao;1998;810;87;26
Sao Paulo;SP;120;2;2;2;22;Nao;Sim;3500;1400;375;45
Sao Paulo;SP;100;2;2;1;1;Sim;Nao;1970;0;0;30
Sao Paulo;SP;240;4;5;4;6;Nao;Nao;3500;1869;717;45
Sao Paulo;SP;360;7;6;6;1;Sim;Nao;5270;0;245;80
Sao Paulo;SP;42;1;1;0;1;Nao;Nao;1100;0;0;17
Sao Paulo;SP;33;1;1;1;14;Sim;Sim;2800;600;112;36
Rio De Janeiro;RJ;48;1;1;0;1;Nao;Nao;1020;626;53;14
Rio De Janeiro;RJ;36;1;1;0;5;Sim;Nao;1130;350;42;15
Sao Paulo;SP;270;6;3;6;1;Sim;Nao;4500;0;417;68
Campinas;SP;75;2;1;1;2;Sim;Nao;1200;670;121;16
Rio De Janeiro;RJ;46;2;1;0;3;Nao;Nao;1600;270;0;21
Sao Paulo;SP;350;3;3;3;1;Nao;Nao;10000;0;1292;151
Porto Alegre;RS;131;3;3;1;10;Sim;Sim;1750;1625;121;26
Campinas;SP;90;3;2;1;3;Sim;Nao;1300;920;129;17
Rio De Janeiro;RJ;26;1;1;0;4;Nao;Nao;1650;390;120;22
Rio De Janeiro;RJ;44;1;1;0;3;Sim;Sim;1100;400;14;15
Sao Paulo;SP;70;2;2;0;1;Sim;Nao;1880;0;0;29
Belo Horizonte;MG;40;1;1;0;1;Nao;Nao;900;0;0;15
Belo Horizonte;MG;320;4;2;4;1;Sim;Nao;3200;0;206;53
Sao Paulo;SP;213;2;2;3;1;Sim;Nao;5150;0;0;78
Sao Paulo;SP;80;2;1;0;1;Nao;Nao;1100;0;0;14
Campinas;SP;70;1;1;0;6;Sim;Nao;800;500;30;11
Rio De Janeiro;RJ;60;2;1;1;5;Sim;Nao;1500;690;25;20
Sao Paulo;SP;270;4;4;4;5;Sim;Nao;12850;4500;1834;163
Rio De Janeiro;RJ;70;2;1;1;3;Sim;Nao;1300;800;44;17
Porto Alegre;RS;300;6;2;2;1;Sim;Nao;6000;0;242;107
Sao Paulo;SP;220;4;5;3;14;Sim;Sim;12000;2050;750;153
Porto Alegre;RS;64;2;2;2;7;Sim;Nao;1600;450;34;24
Rio De Janeiro;RJ;80;3;3;1;7;Nao;Nao;1470;1100;0;19
Sao Paulo;SP;56;1;1;0;9;Sim;Sim;2500;625;81;32
Sao Paulo;SP;161;4;3;2;1;Sim;Nao;10000;1450;467;127
Sao Paulo;SP;35;1;1;0;1;Sim;Nao;1350;350;0;18
Sao Paulo;SP;720;4;6;5;1;Sim;Sim;12750;0;2613;192
Sao Paulo;SP;280;4;5;4;6;Nao;Nao;3200;2500;750;41
Porto Alegre;RS;96;3;2;0;2;Sim;Nao;2100;408;84;31
Campinas;SP;236;3;4;4;10;Sim;Nao;11000;1600;440;140
Sao Paulo;SP;81;3;2;1;4;Sim;Nao;1510;204;0;20
Sao Paulo;SP;62;2;1;1;1;Sim;Nao;1650;580;92;21
Belo Horizonte;MG;125;3;2;0;2;Sim;Nao;1200;150;69;16
Sao Paulo;SP;37;1;1;1;6;Sim;Sim;4150;890;110;53
Sao Paulo;SP;60;2;2;1;11;Sim;Nao;4000;1680;200;51
Sao Paulo;SP;230;4;2;3;1;Sim;Nao;5000;3600;1551;64
Sao Paulo;SP;210;4;5;2;1;Sim;Sim;8500;3800;0;108
Sao Paulo;SP;450;4;3;8;1;Sim;Nao;14000;0;175;211
Sao Paulo;SP;234;3;5;4;1;Sim;Sim;3680;0;400;56
Belo Horizonte;MG;135;4;3;2;2;Nao;Nao;2450;868;308;33
Sao Paulo;SP;395;4;5;3;1;Sim;Nao;6000;0;122;91
Porto Alegre;RS;92;2;2;1;2;Sim;Nao;1700;450;67;25
Sao Paulo;SP;412;3;5;6;21;Sim;Nao;3952;2000;459;51
Sao Paulo;SP;42;1;1;1;27;Sim;Nao;5300;560;100;68
Sao Paulo;SP;33;1;1;0;12;Nao;Sim;3000;385;125;39
Porto Alegre;RS;28;2;1;1;1;Sim;Nao;600;0;0;11
Sao Paulo;SP;190;4;4;2;1;Nao;Nao;4450;0;223;67
Sao Paulo;SP;165;4;3;3;10;Sim;Sim;6300;2440;1292;80
Porto Alegre;RS;44;1;1;0;5;Sim;Nao;1200;355;20;18
Sao Paulo;SP;60;2;1;1;4;Sim;Nao;1275;603;109;17
Sao Paulo;SP;380;3;3;2;1;Sim;Nao;11000;3580;1084;140
Rio De Janeiro;RJ;73;2;1;0;4;Sim;Nao;830;375;120;11
Belo Horizonte;MG;19;1;1;0;5;Sim;Nao;1100;620;85;15
Campinas;SP;230;3;5;4;6;Sim;Nao;7500;1800;0;96
Porto Alegre;RS;37;1;1;1;2;Sim;Nao;2500;500;0;37
Sao Paulo;SP;124;3;2;3;7;Sim;Nao;6600;1450;300;84
Rio De Janeiro;RJ;115;3;2;1;8;Sim;Sim;2680;1090;114;35
Campinas;SP;600;3;3;4;1;Sim;Nao;5500;0;384;83
Rio De Janeiro;RJ;700;5;5;4;1;Sim;Sim;15000;1380;1667;229
Porto Alegre;RS;35;1;1;0;1;Sim;Nao;815;100;17;12
Belo Horizonte;MG;15;1;1;0;3;Nao;Sim;1100;0;0;15
Campinas;SP;80;3;2;1;2;Sim;Nao;1450;570;125;19
Porto Alegre;RS;48;1;1;0;4;Sim;Nao;700;200;38;11
Belo Horizonte;MG;96;3;2;1;2;Sim;Nao;1500;922;137;20
Sao Paulo;SP;150;3;2;1;7;Sim;Sim;6715;1843;340;86
Belo Horizonte;MG;105;3;2;2;2;Nao;Nao;3300;1681;390;44
Belo Horizonte;MG;204;4;4;4;22;Nao;Sim;10000;2701;760;134
Rio De Janeiro;RJ;125;3;1;2;11;Sim;Nao;2600;1317;170;33
Rio De Janeiro;RJ;50;2;1;0;3;Nao;Nao;2300;490;50;30
Sao Paulo;SP;250;3;4;3;1;Nao;Nao;3740;0;234;57
Sao Paulo;SP;300;3;4;3;7;Sim;Sim;2000;3000;1250;26
Sao Paulo;SP;80;2;1;1;1;Sim;Nao;1500;0;55;23
Rio De Janeiro;RJ;130;3;4;1;2;Nao;Nao;1400;1200;334;19
Sao Paulo;SP;120;2;3;0;2;Sim;Nao;3300;904;195;42
Sao Paulo;SP;540;3;3;4;9;Sim;Nao;15000;6200;3500;191
Sao Paulo;SP;23;1;1;0;23;Sim;Nao;2100;392;41;27
Sao Paulo;SP;15;1;1;0;1;Nao;Sim;2500;0;0;32
Sao Paulo;SP;72;1;2;2;19;Sim;Nao;4000;900;200;51
